_id,number of reviewer,r_last_interact(month),review_time_duration(sec),defective,submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_open_count,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,Total_patch_LOC,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,Avg_cyclomatic_complexity
,1,1.0,2466678.0,1,1.0,3,0,3,3,0,0,43227,0.186134235447574,0,6283,0.29618042912435205,19,normal,P1,1959
,1,1.0,4211919.0,1,1.0,16,0,2,0,0,0,39163,0.5775193798449613,0,0,0.2311534749034731,2,normal,--,1965
,1,1.0,56663.0,0,1.0,0,0,1,0,0,0,49201,0.9649122807017544,0,0,0.4074969211822638,2,normal,--,1965
,1,1.0,56480.0,0,1.0,0,0,1,0,0,0,49203,0.9642857142857143,0,0,0.23068092018614766,1,normal,--,1965
,1,1.0,56475.0,1,1.0,0,0,1,0,0,0,49205,0.9636363636363636,0,0,0.23020778422070234,1,normal,--,1965
,1,1.0,56484.0,1,1.0,0,0,1,0,0,0,49199,0.9629629629629629,0,0,0.4062172169083594,2,normal,--,1965
,1,1.0,793526.0,0,1.0,2,0,3,0,0,0,47245,0.8564356435643564,0,0,0.4439090237927447,148,normal,--,1993
,1,1.0,725974.0,1,1.0,30,0,4,0,0,0,47469,0.855,0,0,0.44275710048625627,33,normal,--,1993
,1,1.0,0.0,1,1.0,0,0,3,0,0,0,49355,0.8559322033898306,0,0,0.6949936628643839,45,normal,--,2019
,2,1.0,135739.0,0,1.0,0,0,1,0,0,0,48953,0.2573889010242232,0,475,0.5519317730425818,1,normal,--,2019
,1,1.0,85743.0,0,1.0,1,1,2,1,0,0,49081,0.3037902049676331,1,398,0.44321615398598313,47,normal,--,2024
,1,1.0,85618.0,1,1.0,1,4,2,1,0,0,49079,0.3032814656216102,4,352,0.4426382776538461,114,normal,--,2035
,1,1.0,84764.0,1,1.0,10,1,4,2,0,0,49075,0.30229660062262403,1,507,0.4415284446875707,115,normal,--,2046
,1,1.0,46788.0,0,1.0,1,0,1,1,0,0,49143,0.7331018518518524,0,1466,0.9255765199161429,17,normal,P3,2049
,2,1.0,5515844.0,0,1.0,5,14,4,5,0,5,36179,0.5132881409408737,23,3996,0.41933732848413785,53,normal,P2,2097
,1,1.0,68650.0,1,1.0,18,0,3,4,0,0,49087,0.30415504621548817,0,1997,0.4413155551046175,4,normal,--,2099
,1,1.0,68538.0,1,1.0,2,0,2,2,0,0,49085,0.3036448959561041,0,468,0.44073298529763666,33,normal,--,2101
,1,1.0,68483.0,1,1.0,33,0,4,2,0,0,49083,0.3026223480794045,0,722,0.43956419320839335,41,normal,--,2105
,1,1.0,533082.0,0,1.0,3,0,1,0,0,0,48057,1.0,0,0,0.38433872034751837,20,normal,--,2106
,1,1.0,533081.0,1,-1,3,2,1,3,0,0,48059,-1,2,1060,0.38400007277895254,20,normal,--,2107
,1,1.0,67381.0,1,1.0,9,0,4,3,0,0,49077,0.3015967927089331,0,530,0.4383905056549031,34,normal,--,2109
,1,1.0,437562.0,1,1.0,37,0,27,1,0,0,48489,0.5744165795889932,0,159,0.3030415033844039,31,enhancement,P1,2110
,1,1.0,437561.0,1,1.0,37,0,27,0,0,0,48487,0.5744165795889932,0,0,0.3030415033844039,31,enhancement,P1,2111
,2,1.0,7976589.0,1,1.0,152,10,13,0,0,0,32425,0.3944444444444444,10,0,0.25138005672489083,373,normal,--,2347
,1,1.0,195442.0,1,1.0,2,4,8,2,0,1,48631,0.6,6,8152,0.4450164369595571,136,normal,P2,2351
,1,1.0,195442.0,1,1.0,2,0,8,2,0,0,48629,0.6,0,8152,0.4450164369595571,136,normal,P2,2355
,1,1.0,149681.0,1,1.0,23,0,6,14,0,0,48755,0.433665037004531,0,2892,0.4972508591065285,66,normal,--,2364
,1,1.0,149681.0,1,1.0,23,0,10,0,0,0,48751,0.43366503700453213,0,0,0.4972508591065342,333,normal,--,2367
,1,1.0,149680.0,1,1.0,0,3,4,0,0,0,48753,0.4324664444902536,3,1480,0.4866666666666642,267,normal,--,2384
,1,1.0,0.0,1,1.0,1,0,1,1,0,0,49141,0.7323584029712172,0,1466,0.9251054852320678,17,normal,P3,2387
,1,1.0,19128.0,1,1.0,142,0,120,141,0,0,49109,0.3058549800299358,1,4618,0.43171660055160216,143,normal,P3,2419
,1,1.0,11491.0,1,1.0,142,0,120,0,0,0,49107,0.2951560740501261,0,0,0.41758019758023396,143,normal,P3,2423
,1,1.0,614.0,1,1.0,18,0,2,1,0,0,49121,0.2231806627057991,0,3815,0.2190262163209924,1,normal,P2,2425
,1,1.0,0.0,1,1.0,18,0,2,0,0,0,49119,0.22221506999318966,0,0,0.21315423298506,1,normal,P2,2431
,1,1.0,419173.0,0,1.0,0,1,680,0,0,0,48387,1.0,1,3593,0.9768299881936237,3593,normal,--,2431
,1,1.0,419143.0,0,1.0,10,1,5,8,0,0,48377,1.0,1,129,0.9764476447644761,10,normal,--,2431
,1,1.0,328635.0,0,1.0,154,5,4,26,0,1,48621,0.35120181405895623,6,3248,0.19499625374625307,202,normal,P1,2485
,1,1.0,328635.0,0,1.0,0,2,2,0,0,0,48623,0.35120181405895845,2,0,0.1949962537462538,61,normal,P1,2495
,1,1.0,328635.0,1,1.0,1,0,1,0,0,0,48619,0.35027363353543356,0,0,0.1918881311738462,1,normal,P1,2495
,1,1.0,328634.0,1,1.0,0,0,2,0,0,0,48617,0.34747308885240075,1,0,0.4023447204968971,13,normal,P1,2497
,1,1.0,328635.0,0,1.0,3,0,1,0,0,0,48615,0.34747308885239664,0,0,0.40234472049689185,15,normal,P1,2502
,1,1.0,328635.0,0,1.0,0,0,1,0,0,0,48613,0.3455926078404439,1,0,0.39973487211478204,7,normal,P1,2502
,1,1.0,328635.0,1,1.0,3,0,1,0,0,0,48611,0.3455926078404439,0,0,0.39973487211478204,5,normal,P1,2504
,1,1.0,1897211.0,1,1.0,2,2,2,0,0,0,44255,0.34370125699605625,2,0,0.18559932285613226,20,normal,P1,2505
,1,0.14285714285714285,15392.0,0,1.0,4,0,1,4,0,0,49037,0.48900710190216756,0,663,0.11428571428571427,4,normal,--,2505
,1,1.0,1711.0,1,1.0,62,0,6,0,0,0,49073,0.301005575526591,0,0,0.430659012784809,376,normal,--,2514
,1,1.0,2471869.0,0,1.0,4,2,3,3,0,0,42939,0.7297297297297297,3,295,0.41583642571666407,55,normal,P2,2515
,2,1.0,5441259.0,1,1.0,5,0,4,0,0,0,36177,0.5074895065123074,0,0,0.41955116758509065,53,normal,P2,2658
,1,1.0,7859333.0,0,1.0,72,3,10,0,0,0,32489,0.26681222707423846,3,0,0.6827956989247319,107,normal,--,2658
,1,0.3333333333333333,7859333.0,1,1.0,464,4,13,106,0,0,32485,0.20801886792452903,4,11970,0.29761904761904795,478,normal,--,2812
